atp1 atp2 c12                    old_rc12               # >6  c12                    c12
O    O    7.703205086354507e-07  7.5e-7                 # Manual 5.801734210627211e-07  7.703205086354507e-07
O    OM   7.013840414318058e-07  7.5e-7                 # Manual 3.2228956345557457e-07 7.013840414318058e-07
O    OA   5.1110687858211906e-08 3.6340510035416444e-07 # >6  2.9137432184408464e-07 5.1110687858211906e-08
O    N    3.9332116172143173e-07  7.5e-7                # Manual  3.9332116172143173e-07 1.0115434594394737e-07
O    NT   1.1292692029579082e-07 8.265637568519653e-07  # >6  5.801734210627211e-07  1.1292692029579082e-07
O    NL   5.742618275042624e-08  4.799376617607296e-07  # 4-5 5.742618275042624e-08  6.444980961093803e-08
O    NR   1.2594349761073345e-07 6.296055527893412e-07  # >6  4.78449438233876e-07   1.2594349761073345e-07
O    NZ   9.05167362258012e-08   4.799376617607296e-07  # >6  0.0                    9.05167362258012e-08
O    NE   1.2594349761073345e-07 4.799376617607296e-07  # >6  0.0                    1.2594349761073345e-07
O    C    1.5619221473243766e-07 2.5445798665780286e-06 # 4-5 1.5619221473243766e-07 1.8933619871479337e-06
O    CR   8.454178454694858e-07  2.5445798665780286e-06 # 4-5 8.454178454694858e-07  1.7356754565546296e-06
O    CZ   9.271725969950735e-07  8.269390364517911e-07  # >6  0.0                    9.271725969950735e-07
O    CH   7.013840414318058e-07  8.269390364517911e-07  # 4-5 7.013840414318058e-07  1.0161170406288952e-06
O    CH1  1.4558184529108867e-06 4.153527511548878e-06  # >6  1.59011205135462e-06   1.4558184529108867e-06
O    CH1t 1.0161170406288952e-06 4.153527511548878e-06  # >6  2.064082678151929e-06  1.0161170406288952e-06
O    CAH  1.3319957855440268e-06 4.153527511548878e-06  # >6  1.110557678004124e-05  1.3319957855440268e-06
O    CH2  8.454178454694858e-07  2.015648815722931e-06  # >6  8.454178454694858e-07  8.454178454694858e-07
O    CAH2 6.381454827742098e-07  2.015648815722931e-06  # >6  1.4922176228398963e-05 6.381454827742098e-07
O    CH3  5.27066068361103e-07   1.503991708701826e-06  # 4-5 5.27066068361103e-07   1.1128214538294811e-06
O    CH2r 9.271725969950735e-07  1.7725675979630829e-06 # >6  1.2178965067259558e-06 9.271725969950735e-07
O    S    9.271725969950735e-07  8.466821298334225e-07  # 4-5 9.271725969950735e-07  1.8933619871479337e-06
O    SM    9.271725969950735e-07  8.466821298334225e-07  # 4-5 9.271725969950735e-07  1.8933619871479337e-06
O    SH   8.454178454694858e-07  8.466821298334225e-07  # >6  1.0161170406288952e-06 8.454178454694858e-07
O    H    4.826394797699592e-10  1.5516445117711974e-08 # >6  1.003911895429072e-08  4.826394797699592e-10
OM   OM   1.2178965067259558e-06 2.5e-6                 # Manual 2.1419726874683542e-07 1.2178965067259558e-06
OM   OA   2.8046492305742514e-08 2.941725938179918e-07  # >6  5.1110687858211906e-08 2.8046492305742514e-08
OM   N    9.05167362258012e-08   3.885044725390518e-07  # >6  1.1292692029579082e-07 9.05167362258012e-08
OM   NT   9.05167362258012e-08   6.690946386611443e-07  # >6  9.05167362258012e-08   9.05167362258012e-08
OM   NL   5.1110687858211906e-08 3.885044725390518e-07  # >6  5.742618275042624e-08  5.1110687858211906e-08
OM   NR   5.742618275042624e-08  5.096590509207162e-07  # >6  7.225302986991769e-08  5.742618275042624e-08
OM   NZ   7.225302986991769e-08  3.885044725390518e-07  # >6  0.0                    7.225302986991769e-08
OM   NE   7.225302986991769e-08  3.885044725390518e-07  # >6  0.0                    7.225302986991769e-08
OM   C    1.4558184529108867e-06 2.0598105497110153e-06 # Manual 1.736919907132888e-07  1.4558184529108867e-06
OM   CR   1.4558184529108867e-06 2.0598105497110153e-06 # >6  1.7356754565546296e-06 1.4558184529108867e-06
OM   CZ   8.454178454694858e-07  6.693984235369761e-07  # >6  0.0                    8.454178454694858e-07
OM   CH   7.703205086354507e-07  6.693984235369761e-07  # Manual 1.2594349761073345e-07 7.703205086354507e-07
OM   CH1  2.897745766558051e-06  3.3622366895124407e-06 # Manual 9.271725969950735e-07  2.897745766558051e-06
OM   CH1t 8.454178454694858e-07  3.3622366895124407e-06 # >6  0.0                    8.454178454694858e-07
